Company/Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does
Chrysalis (EZ Vidya),Education,Seed,3515000,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization
Ekincare,Medical,Series A,1500000,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.
Streo,Music Streaming,Seed,3515000,Gurgaon,"Live stream music from nightclubs, bars & festivals!"
Groww,"Finance, Impact Investing, Internet",Seed,120000,Kormangala,Groww offers a new way of investing money.
Cell Propulsion,,Seed,1022000,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.
Chezuba,"Internet, Social Entrepreneurship",Angel,204400,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide
Ontrack Technologies Pvt. Ltd,Retail,Seed,3515000,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.
Faclon Labs,"Cloud Computing, Computer, Software",Seed,3515000,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,7300000,Bangalore,Operations and manpower outsourcing startup
CollPoll,Education,Seed,3515000,Bangalore,World-class Enterprise System for Education.
Zyla Health,"Health Care, Hospitality",Seed,3515000,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.
Hubhopper,"Internet, Social News, Sports",Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .
Rubix108 Technologies,Information Technology,Seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.
Workflexi,Human Resources,Seed,1460000,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract"
Streak,Financial Services,Seed,3285000,Bangalore,Algorithmic trading platform.
Kuants,Financial Services,Seed,730000,Gurgaon,Algorithmic trading platform.
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,3515000,Chennai,A video recording and sharing software.
Satvacart,"E-Commerce, Food Processing",Seed,3515000,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket
Daaki,Health Care,Angel,3515000,Bangalore,Sports Nutrition startup
Simulanis,Training,Seed,500000,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.
MY CHIRAAG CAB,Travel,Seed,1000000,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD
WOTU,Food and Beverage,Seed,3515000,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.
Flathalt,,Angel,50000,Gurgaon,FInd your Customized Home here.
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,7300000,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.
Trendlyne Technologies,Financial Services,Seed,200000,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,20469200,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000,Bangalore,HealthPlix is a healthtech startup
dishq,,Seed,400000,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000,Bengaluru,The boundaries between Human and Machines are shrinking fast.
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.
Trell,,Seed,1250000,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000,Bangalore,Building future human capital through 21st Century Skills programs for K-12
Log 9 Materials,Nanotechnology,Seed,4380000,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,2803200,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.
HousingMan.com,,Seed,15038000,Bengaluru,"New Apartments, Flats for Sale in Bangalore"
Steradian Semiconductors,,Seed,3515000,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,5840000,Mumbai,RupeeCircle is a new age finance company.
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.
The Ken,Digital Media,Series A,1500000,Bengaluru,The Ken is India’s first subscriptions-only business news site
SaffronStays,,Seed,2000000,Mumbai,SaffronStays connects travellers to India's Incredible hosts.
Vebbler,"File Sharing, Personalization, Social Media",Seed,3515000,Bengaluru,A personal network for close people
Foyr,"Home Decor, Interior Design",Series A,4200000,Pune,"Foyr.com is India's first online, automated interior designer"
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.
Inner Being Wellness,,Angel,5110000,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products."
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,3515000,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,14600000,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.
McXtra,"Finance, Financial Services, Insurance",Seed,1300000,Andheri,McXtra is a digital insurance broking startup.
Magic Crate,"Children, Education, Online Portals",Seed,3515000,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month."
SmartVizX,"Software, Virtual Reality",Seed,1450000,Noida,It is a Virtual Reality Solutions StartUp
MySEODoc,,Seed,3515000,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management"
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,,Seed,29200,Pune,Digital Marketing Agency
Scale Labs,,Seed,1000000,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.
HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,4500000,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.
Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,500000,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000,Mylapore,Car Service and Bike Service Mobile App
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000,Ahmedabad,Fixpocket is a internet-based startup.
edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries."
Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,3515000,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.
Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,4500000,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature."
ZunRoof,"Environmental Consulting, Renewable Energy",Angel,2423600,Gurgaon,ZunRoof is a rooftop focused solar startup.
Eggoz,"Food and Beverage, Food Processing",Angel,1752000,Indore,Eggoz is a full-stack layer poultry business operator & service provider .
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000,Gurgaon,Personal Finance
GalaxyCard,"Finance, Financial Services, FinTech",Seed,3515000,Noida,GalaxyCard is a mobile based Instant credit card.
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,2920000,Mumbai,A food processing enterprise registered with StartUp India .
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.
Nivesh.com,"Finance, Financial Services, Marketing",Seed,4380000,Noida,Nivesh.com is a mass market mutual funds investment platform.
Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,3515000,Hyderabad,A fully functioning cell culture facility and molecular biology setup.
Poshmiles Online Solutions Private Limited,Travel,Seed,3515000,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.
Reculta,"Education, Human Resources",Seed,3515000,Noida,A campus recruitment solution provider.
Orbo.ai,Internet,Seed,3515000,Mumbai,Orbo is a computer vision and deep facial technology company.
Inntot Technologies,Consumer Electronics,Seed,3515000,Kochi,"Inntot Technologies, is a technology driven company."
Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,3515000,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company
Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,4818000,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .
Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,4000000,Bangalore,Locus is an intelligent logistics automation platform.
Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more."
Inc42,"Media and Entertainment, News, Publishing",Seed,3515000,New Delhi,Inc42 is one of the leading tech media publications of India.
Picxy,Internet,Seed,130000,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh."
Huddle,Consulting,Seed,300000,Haryana,A coworking incubator Company.
Benepik,Human Resources,Seed,3515000,Gurgaon,HR Technology start-up.
Cash Suvidha,Finance,Seed,1000000,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.
Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment
Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,3515000,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients."
Roadcast,,Angel,250000,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.
Printline Media(ThePrint),"Digital Media, News, Publishing",Seed,5095400,New Delhi,A digital news platform.
Creditas Solutions,Financial Services,Seed,3515000,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.
UrbanPiper,Software,Seed,3515000,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.
Doxper,"Health Care, Hospital",Seed,10512000,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information
i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,7300000,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.
ShakeDeal,"B2B, E-Commerce, Enterprise",Seed,3515000,Bangalore,Home of B2B Commerce
HelloVerify,"Fraud Detection, Information Services, Security",Seed,3515000,Noida,HelloVerify is an online background check platform.
Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000,Bengaluru,Climate Smart Precision Agriculture Platform
CoinGeto,"Cryptocurrency, Trading Platform",Seed,17520000,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.
Avail Finance,"Finance, FinTech, Mobile Payments",Series A,17200000,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.
Tripeur,Information Technology,Seed,600000,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software
Wedeterna,Wedding,Angel,3515000,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles."
Stumagz,Digital Media,Seed,3515000,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,5110000,Gurgaon,Gurgaon based E-learning platform.
MCaffeine,Consumer Goods,Seed,4672000,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.
TrustCheckr,Information Technology,Angel,100000,Bengaluru,A Bengaluru-based fraud analytics solution provider .
HealthAssure,"Fitness, Health Care, Wellness",Seed,1000000,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.
Picture TIme,Digital Entertainment,Seed,36500000,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.
1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,3500000,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures
Aarav Unmanned Systems,"Delivery, Drones, Geospatial, Robotics",Seed,3515000,Bangalore,Professional Drones for Enterprise Applications
Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",Seed,19710000,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes."
Nua,Consumer Goods,Seed,3515000,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.
Kuvera.in,Financial Services,Angel,250000,Bangalore,An online platform for mutual fund investments.
Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,1100000,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health
Gramophone,Farming,Seed,1000000,Indore,An agricultural inputs startup Company.
Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,3515000,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.
Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,3000000,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.
Predible Health,Medical Device,Seed,3515000,Bangalore,Healthcare devices for cancer detection
Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,3515000,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments."
Blueleaf Cyberspace Systems,"Internet, Software",Seed,3515000,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.
Toffee,,Seed,1500000,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience."
ORO Wealth,,Series A,1600000,Mumbai,Online wealth management platform
HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,200000,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere."
Acko General Insurance,"Financial Services, Insurance, Private Social Networking",Series A,12000000,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.
arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",Seed,2190000,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.
Bonphul Air Products,CleanTech,Angel,2920000,Delhi,A clean tech product Company
DheeYantra Research Labs,Artificial Intelligence,Seed,3515000,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages"
Edyoo,Education,Seed,1000000,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use."
Chtrbox,"Advertising, Internet, Marketing",Angel,1460000,Mumbai,Chtrbox connects social media influencers with brands .
Aashiyaan Housing and Development Finance,Financial Services,Seed,19710000,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.
BetterPlace Safety Solutions Pvt. Ltd.,"Human Resources, Security, Training",Series A,3000000,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks."
Cashkumar,"Consumer Lending, Finance, FinTech",Seed,7300000,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India
Rocketium,"Marketing, Social Media, Video",Seed,2920000,Bangalore,Easy video creation for social media.
FreightBazaar,Transportation,Seed,3515000,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.
OPEN,Banking,Seed,3515000,Bangalore,Open up to a new world of Banking
mfine,"Health Care, Hospital",Series A,4200000,Bengaluru,Hospital & Health Care Start up
Earth Food,"Food and Beverage, Food Processing",Seed,9344000,Pune,Earth Food is a healthy Food Start Up.
Charcoal Eats,Food Processing,Seed,7300000,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.
Wishfie,Apps,Seed,3515000,Bangalore,A platform for people to express their opinions in form of short videos around any topic.
The Social Hook,Marketing,Seed,3515000,Bengaluru,Fast growing Influencer Marketing platform in India.
FreightBro,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,3515000,Mumbai,Software for the new-age freight
Finwego,,Seed,3515000,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees
Cricnwin,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,3515000,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges."
Wicked Ride Adventure Services Private Limited,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Venture - Series Unknown,10000000,Bangalore,Peer-to-Peer motor vehicles sharing
Career Anna,"Commercial, E-Learning, Education",Seed,5840000,Bangalore,India's Go to Career Commerce Portal
ERUDITUS Executive Education,"Continuing Education, EdTech, Education, Skill Assessment",Series C,40000000,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes"
Gaia Smart Cities,"Smart Cities, Telecommunications",Seed,3515000,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.
Square Off,"Internet of Things, Robotics",Seed,1100000,Mumbai,Delivering Imagination
UrbanClap,"Apps, Home Services, Information Services, Information Technology",Series D,50000000,Delhi,UrbanClap is India's leading managed marketplace for home services.
Hospals,"Medical, Tourism",Seed,1500000,New Delhi,Hospals is a medical tourism company.
Kogta Financial India Limited,Financial Services,Series B,224840000,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .
Perspectico,"Career Planning, Education, Internet",Seed,3515000,New Delhi,An Education Management startup.
The Souled Store,"Fashion, Graphic Design, Wearables",Venture - Series Unknown,3000000,Mumbai,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters."
Hush - Speak Up. Make Work Better,"Communities, Leisure, Mobile Apps, Software",Seed,6570000,Bangalore,Enabling diversity of opinions in organizations
Drivezy,"Automotive, Rental, Sharing Economy",Debt Financing,100000000,Bengaluru,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.
Freyr Energy,"Energy, Environmental Consulting, Renewable Energy, Solar",Series A,1500000,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India."
NIRAMAI Health Analytix,"Health Care, Hospital",Seed,6000000,Bangalore,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.
CloudSek,"Information Technology, SaaS, Security",Seed,20440000,Bengaluru,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.
Lendbox,"Crowdfunding, Financial Services, Internet",Seed,8760000,Delhi,Lendbox is India's leading peer-to-peer lending online lending platform.
Verloop,"Customer Service, Information Technology, Internet, Sales Automation",Series A,3000000,Bangalore,Verloop is an automated customer support and engagement platform.
Flickstree,"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Seed,3515000,Mumbai,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence."
Paymatrix,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",Seed,100000,Hyderabad,India's Leading Property Rent management platform
Idha Skin Clinic,"Beauty, Cosmetics, Health Care, Service Industry",Seed,730000,Bangalore City,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.
InCred,"Banking, Finance, Financial Services",Private Equity,41900000,Mumbai,InCred Finance is a mumbai-based non-banking financial company
Vedantu,"EdTech, Education, Mobile, Tutoring",Series B,11000000,Bangalore,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers
Sportido,"Social Media, Sports",Seed,3515000,Noida,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.
Stelis Biopharma,Biopharma,Series B,100000000,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company
Magicpin,"E-Commerce, E-Commerce Platforms, Retail",Series C,205860000,Gurgaon,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact."
Try & Buy,"E-Commerce, Fashion, Shopping",Seed,3515000,New Delhi,Try & Buy
Mech Mocha,"Digital Entertainment, Mobile, PC Games",Series B,3530000,Bangalore,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .
Aye Finance,"Finance, Financial Services, Small and Medium Businesses",Debt Financing,10512000,Gurgaon,Aye Finance provides financial services to micro and small businesses in Northern India.
Aldopay,Mobile Payments,Seed,200000,Chennai,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.
Detect Technologies,"Artificial Intelligence, Energy, Oil and Gas",Series A,3300000,Chennai,Completely automated remote control system.
Signzy,"Computer, FinTech, Risk Management, Software",Series A,35040000,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.
CashRich,"Apps, Financial Services, FinTech",Seed,1000000,Mumbai,A Mumbai-based fin-tech startup
Cloudnine Hospitals,"Child Care, Health Care, Hospital, Medical, Women's",Private Equity,3515000,Bangalore,Cloudnine is an Indian chain of women and child care hospitals.
CropIn Technologies,"Agriculture, Mobile",Series B,84680000,Bengaluru,"To discover, develop and deliver innovative solution in Agtech Space"
Billdesk,"Finance, FinTech, Payments, Property Development, Rental",Venture - Series Unknown,3515000,Ahmedabad,"BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying"
Yaantra,"Information Services, Information Technology, Mobile, Software",Debt Financing,2000000,Delhi,"Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India"
TECHBOOZE,Education,Seed,100000,New Delhi,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country."
HealthifyMe,"Apps, Fitness, Health Care, mHealth",Series B,6000000,Bangalore,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.
hoi foods,"Food and Beverage, Food Delivery",Seed,5256000,Gurgaon,India's first hotel dedicated food brand which promises great in room dining experience in budget hotels
Perpule,"Apps, Payments, Retail",Series A,49640000,Bangalore,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.
Royal Sundaram General Insurance Co. Limited,"Health Insurance, Insurance, Life Insurance",Corporate Round,210000000,Kalpakkam,"Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses."
CleanseCar,Automotive,Angel,5110000,Bangalore,CleanseCar is a company provides Washing and Repair Services.
DRIVEU,"Rental, Taxi Service, Travel",Venture - Series Unknown,10220000,Bengaluru,DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses
Spinny,"E-Commerce, E-Commerce Platforms, Internet, Retail",Series A,11000000,Gurgaon,Used cars marketplace in India. Ushering new era of transparency and convenience.
Asset Reconstruction Company (India) Ltd.,"Financial Services, Professional Services",Secondary Market,3515000,Mumbai,Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.
Med365 Healthcare,Health Diagnostics,Seed,7300000,Jaipur,"Wellness, Specialised Testing, Healthcare at Home"
Dunzo,"Customer Service, Messaging, Mobile Apps, Personalization",Debt Financing,10220000,Bangalore,Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.
Mobile Premier League (MPL),"Gaming, iOS, Sports",Series A,5000000,Bengaluru,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.
WalMart India,Retail,Venture - Series Unknown,37680000,Gurgaon,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,"
Cred,,Seed,3515000,Bengaluru,Cred is a platform to celebrate and reward the most creditworthy people of India.
Meesho,"E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media",Series C,50000000,Bangalore,"Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels."
BhaskarGuru,Search Engine,Seed,1000000,Bhopal,Bhaskarguru.com is your local search Engine
Gugu,"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Seed,250000,Coimbatore,Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.
FarmTaaza,"Agriculture, Farmers Market, Farming",Series A,3515000,Bengaluru,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.
Vizzbee,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Pre-Seed,20000,Bhopal,Autonomous Drone Solutions for last mile delivery as well as search and rescue
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,900000,Bangalore,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.
Mobycy,"Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",Angel,3515000,Gurgaon,India's 1st Dockless Bicycle Sharing App
Traveo Soft Pvt. Ltd.,"Mobile, Software, Travel",Undisclosed,175200,Bangalore,AI based Business Travel & Expense management
Em Personal Care,Cosmetics,Seed,3515000,Worli,Em Personal Care is a Cosmetic products manufacturing Company.
Lucideus,"Consulting, Cyber Security, Network Security",Venture - Series Unknown,5000000,New Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks."
Eupheus Learning,"E-Learning, EdTech, Education",Seed,3515000,Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.
GamingMonk,"eSports, Gaming, Video Games",Series A,5840000,New Delhi,"GamingMonk is an eSports gaming company based out of New Delhi, India."
Sukkhi Jewellery,"Fashion, Jewelry",Venture - Series Unknown,74460000,Mumbai,Sukkhi Jewellery is a Contemporary fashion jewellery brand.
INDwealth,Financial Services,Seed,321200000,Gurgaon,INDwealth is an Artificial Intelligence (AI) powered wealth management company
Medikabazaar,"B2B, Medical Device",Series A,5000000,Mumbai,India's largest medical and surgical supplies marketplace
NIRA,"Credit, Financial Services, FinTech, Lending",Seed,1000000,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom."
